phonemes,ground_truth,prediction
ʃneːbərɪçt fyːɾ zaŋkt antoːn antsaɪɡən,Schneebericht für Sankt Anton anzeigen.,Schweberecht für Sankt Anton anzugreifen.
ɛsɪst tsuː ʊntɜʃaɪdən fɔn deːn ɡɾɑːfən fɔn bœnɪŋhaʊzən,Es ist zu unterscheiden von den Grafen von Bönninghausen.,Es ist zu unterscheiden von den Grafen von Bönghausen.
dɑːmɪt kœntən nɔøə ɛɾkɛntnɪsə yːbɜ diː vɛlt dɛɾ antiːkə ɡəvɔnən vɛɾdən,Damit könnten neue Erkenntnisse über die Welt der Antike gewonnen werden.,Damit können neue Ergebnisse über die Welt der Antike gewonnen werden.
dɛɾ k??bɛtɾiːp v??də nɑːx deːm kɾiːk viːdɜ aʊfɡənɔmən,Der Kurbetrieb wurde nach dem Krieg wieder aufgenommen.,Der Kurbetrieb wurde nach dem Krieg wieder aufgenommen.
ɪç ʃtɛlə deːn antɾɑːk dɛɾ fraktsjoːn dɛɾ zoːtsiːaldeːmoːkɾɑːtɪʃən paɾtaɪ ɔøroːpɑːs tsuːɾ apʃtɪmʊŋ,Ich stelle den Antrag der Fraktion der Sozialdemokratischen Partei Europas zur Abstimmung.,Ich stelle den Antrag der Fraktion der Sozialdemokratischen Partei Europas zur Abstimmung.
manʃaftskɑpiːtɛːn ɪn dɛɾ françɪsəɡəʃɪçtə ɛɾnant,Mannschaftskapitän in der Franchise-Geschichte ernannt.,Mannschaftskapitän in der Französische Geschichte ernannt.
ɛɾ bəʃɛftɪçtə zɪç mɪt astɾoːnoːmiː ɑrɪtmeːtiːk ʊnt muːziːkteːoːriː,"Er beschäftigte sich mit Astronomie, Arithmetik und Musiktheorie.","Er beschäftigte sich mit Astronomi, Arthematik und Musiktheorie."
dɛɾ haɾvaɾtdoːtsɛnt tiːmɔtiː leːariː vɪdmətə zɪç fɔɾ aləm dɛɾ ɛɾfɔɾʃʊŋ pzyçeːdɛlɪʃɜ dɾoːɡən,Der Harvard-Dozent Timothy Leary widmete sich vor allem der Erforschung psychedelischer Drogen.,Der Hardwood-Dozent Timoni Leari widmete sich vor allem der Erforschung psychedelischer Drogen.
ɪç ɡlaʊbə diː antvɔɾt liːkt aʊf dɛɾ hant,"Ich glaube, die Antwort liegt auf der Hand.","Ich glaube, die Antwort liegt auf der Hand."
viːɾ mysən diː eːnɛɾɡiːfrɑːɡən vɪɾklɪç vaɪtɜ oːbən aʊf diː tɑɡeːzɔɾdnʊŋ zɛtsən,Wir müssen die Energiefragen wirklich weiter oben auf die Tagesordnung setzen.,Wir müssen die Energiefragen wirklich weiter oder auf die Tagesordnung setzen.
das oːrɪɛntɑlɪʃə fɔɾʃʊŋsɪnstiːtuːt myːzoːrə fɛɾfyːkt yːbɜ aɪnə altə fɔlʃtɛndɪɡə koːpiː dɛs vɛɾkəs ɪn zanskɾɪt,"Das Orientalische Forschungsinstitut Mysore verfügt über eine alte, vollständige Kopie des Werkes in Sanskrit.",Das organische Forschungsinstitut Mysore verfügt über eine alte vollständige Kopie des Werkes in Saint-Ritz.
ʃpɛːtɜ bəʃriːp (en)vəɹaɪəti(de) diː ɪntɜnatsjoːnɑːlə fɛɾœfəntlɪçʊŋ dɛs fɪlms als ʃmɛɾtshaftən mɪsɜfɔlk,"Später beschrieb ""Variety"" die internationale Veröffentlichung des Films als ""schmerzhaften Misserfolg"".",Später beschreibt Variable die internationale Verwendung des Films als stärksten Misserfolg.
zaɪtən oːnə tastatuːɾraɪə vɛɾdən ɔft als bɔɾduːn ɡənʊtst,Saiten ohne Tastatur-Reihe werden oft als Bordun genutzt.,Seinen ohne Staturreihe werden oft als Bronze genutzt.
raɪmɔnt smɪt vɑːɾ das eːɾstə ɔpfɜ das ɛɾ ɪn zaɪnə nɔøə voːnʊŋ mɪtnɑːm,"Raymond Smith war das erste Opfer, das er in seine neue Wohnung mitnahm.","Reimmond Smith war das erste Opfer, dass er in seine neue Wohnung mitnahm."
ɪm zɛlbən jɑːɾ ɛɾhiːlt ɛɾ das ɡɔldənə fɛɾdiːnsttsaɪçən dɛɾ reːpuːblɪk øːstɜraɪç,Im selben Jahr erhielt er das Goldene Verdienstzeichen der Republik Österreich.,Im selben Jahr erhielt er das größte Verdienstzeichen der Republik Österreich.
diːs liːkt zysteːmɑːtɪʃ nɑːə,Dies liegt systematisch nahe.,Dies liegt systematisch nahe.
tsuː d??çʃaʊbɑːɾ fyːɾ aɪnən ɛɾfɑːrənən ɡeːɡnɜ,Zu durchschaubar für einen erfahrenen Gegner.,Zu durchschaubar für einen erfahrenen Gegner.
ɛs vɑːɾ rɪçtɪç zoː foːɾtsuːɡeːən ʊnt dɛɾ daŋk dɑːfyːɾ ɡəbyːɾt hɛɾn kuːnə,"Es war richtig, so vorzugehen, und der Dank dafür gebührt Herrn Kuhne.",Es war richtig so vorzugehen und der Dank dafür gewürdigt Herrn Kuhne.
diː ʊntɜneːmən hatən dɑːtən aʊs dɛɾ yːbɜvaxʊŋ fɔn kɛɾŋkɾaftvɛɾkən ɡəfɛlʃt,Die Unternehmen hatten Daten aus der Überwachung von Kernkraftwerken gefälscht.,Die Unternehmen hatten Daten aus der Überwachung von Kernkraftwerken gefehlt.
tɑriːfə vɛɾdən foːɾviːɡənt fyːɾ laɪstʊŋən fɔn pɛɾzoːnən ʊnt fyːɾ laɪstʊŋən fɔn ʊntɜneːmən anɡəvɛndət,Tarife werden vorwiegend für Leistungen von Personen und für Leistungen von Unternehmen angewendet.,Zahlen werden vorwiegend für Leistungen von Personen und für Leistungen von Unternehmen angewendet.
dɑːhɛɾ bəɡɪnt man yːbɜal ɪn ɡeːɔɾɡiːən mɪt deːn foːɾbəraɪtʊŋən,Daher beginnt man überall in Georgien mit den Vorbereitungen.,Daher beginnt man überall in Griechenland mit den Vorbereitungen.
das pɾoːbleːm aʊstɾɑlɪəns ɪst aʊx ʊnzɜ pɾoːbleːm,Das Problem Australiens ist auch unser Problem.,Das Problem Australiens ist auch unser Problem.
aɪn halbəs aɪ ɪst ʃliːslɪç ɪmɜ nɔx bɛsɜ als ɡɑːɾ kaɪns,Ein halbes Ei ist schließlich immer noch besser als gar keins.,Ein Halbes Ei ist schließlich immer noch besser als gar keins.
dɛɾ aɾtst bəʃlɔs iːn ɪn peːtɜzəns pɛnzjoːn aʊf dɛɾ andərən ʃtɾɑsənzaɪtə tsuː bɾɪŋən,"Der Arzt beschloss, ihn in Petersens Pension auf der anderen Straßenseite zu bringen.",Der Art beschloss ihn in Petersens Position auf der anderen Straßenseite zu bringen.
dɛɾ laŋtiːtəl laʊtət alɡəmaɪnəs ɡəzɛts tsʊm ʃʊts dɛɾ œfəntlɪçən zɪçɜhaɪt ʊnt ɔɾdnʊŋ ɪn bɛɾliːn,"Der Langtitel lautet ""Allgemeines Gesetz zum Schutz der öffentlichen Sicherheit und Ordnung in Berlin"".",Der Langteil lautet allgemeines Gesetz zum Schutz der öffentlichen Sicherheit und Ordnung in Berlin.
ɛsɪst aʊx ʊnzrə aʊfɡɑːbə ɪn diːzən lɛndɜn frɔøndə tsuː zuːxən,"Es ist auch unsere Aufgabe, in diesen Ländern Freunde zu suchen.",Es ist auch unsere Aufnahme in diesen Ländern Freunde zu suchen.
ɪm fluːk ɪst aɪn vaɪsɜ lɛŋlɪç oːvɑːlɜ flɛk aʊf deːm rykən tsuː zeːən,"Im Flug ist ein weißer, länglich ovaler Fleck auf dem Rücken zu sehen.",Im Flug ist ein weiter länger länglich ovaler Fleck auf dem Rücken zu sehen.
alə andərən taɪlneːmɜ mʊstən ɪm axtəlfiːnɑːlə aɪnʃtaɪɡən,Alle anderen Teilnehmer mussten im Achtelfinale einsteigen.,Alle anderen Teilnehmer mussten im Achtelfinale einsteigen.
ʊntɜ diː daxʃrɛːɡə past aɪn bɛt ɑːbɜ kaɪn ʃraŋk,"Unter die Dachschräge passt ein Bett, aber kein Schrank.",Unter die Dachscheibe passt ein Bett aber kein Ring.
diː natsjoːnɑːlən ɑɡəntuːrən zɪnt ɪn deːn mɪtɡliːtstɑːtən ɪn deːn jeːvaɪlɪɡən landəsʃpɾɑːxən tɛːtɪç,Die nationalen Agenturen sind in den Mitgliedstaaten in den jeweiligen Landessprachen tätig.,Die nationalen Agenturen sind in den Mitgliedstaaten in den jeweiligen Landessprachen tätig.
ziː bɪtən ʊm tseːn tsuːzɛtslɪçə miːnuːtən tsaɪt diː ɡəvɛːɾt vɛɾdən,"Sie bitten um zehn zusätzliche Minuten Zeit, die gewährt werden.",Sie bildeten um zehn zusätzliche Minuten Zeit die gewährt werden.
dɑːtsuː kɑːmən leːɾtɛːtɪçkaɪtən an fɛɾʃiːdənən ɪntɜnatsjoːnɑːlən ɪnstiːtuːtsjoːnən ɪn atən,Dazu kamen Lehrtätigkeiten an verschiedenen internationalen Institutionen in Athen.,Dazu kamen Lehrtätigkeiten an verschiedenen internationalen Institutionen in Athen.
das bətsɪɾksɡeːrɪçt hatə zaɪnən zɪts ɪn kɛmptən,Das Bezirksgericht hatte seinen Sitz in Kempten.,Das Bezirksgericht hatte seinen Sitz in Kämpten.
vɛn ziː dɑː zoː ɡuːt ɪst dan mystən viːɾ ziː ɪm ʃvaɪneːmaɾkt aʊx hɑːbən,"Wenn sie da so gut ist, dann müssten wir sie im Schweinemarkt auch haben.","Wenn sie da so gut ist, dann müssten wir sie im Schwenemarkt auch haben."
ʃaɾtərə miːɾ bɪtə aɪnən ʃaɾtɜfluːk,Chartere mir bitte einen Charterflug!,Schöne mir bitte einen Schlagerflug.
roːm v??də k??ts danax iːtɑːlɪəns haʊptstat,Rom wurde kurz danach Italiens Hauptstadt.,Rom wurde kurz danach Italiens Hauptstadt.
ʊm diːs aʊstsuːʃliːsən nɪmt man diː ɔølɜkarakteːrɪstiːk tsuː hɪlfə,"Um dies auszuschließen, nimmt man die Euler-Charakteristik zu Hilfe.","Um dies auszuschließen, nimmt man die Europäische Kritik zu Hilfe."
dɛɾ ɛntʃteːəndə ʃtɪkstɔf kan ɪn dyŋeːmɪtəl ʊmɡəvandəlt vɛɾdən,Der entstehende Stickstoff kann in Düngemittel umgewandelt werden.,Der entstehende Stickstoff kann in Dünemittel umgewandelt werden.
ɪn diːzɜ ɛɾtsɛːlʊŋ vɛɾdən diː lɛtstən ʃtʊndən aɪnɜ altən fraʊ ɡəʃɪldɜt,In dieser Erzählung werden die letzten Stunden einer alten Frau geschildert.,In dieser Erzählung werden die letzten Stunden einer alteren Frau gespeichert.
ɛs ɡiːpt ɪn dɛɾ tɑːt aɪnə ʊnɡlaʊplɪçə antsɑːl ɡuːtɜ mœklɪçkaɪtən,Es gibt in der Tat eine unglaubliche Anzahl guter Möglichkeiten.,Es gibt in der Tat eine unglaubliche Anzahl guter Möglichkeiten.
bɪtə høːɾ diːɾ daɪnə aɪɡənə aʊfnɑːmə an bəfoːɾ duː ziː apʃɪkst,"Bitte hör dir deine eigene Aufnahme an, bevor du sie abschickst.","Bitte hör dir deine eigene Aufnahme an, bevor du sie abschickt."
ɛs ɡiːpt kaɪnɜlaɪ antaɪlsçaɪnə,Es gibt keinerlei Anteilsscheine.,Es gibt keinerlei Anteilszeile.
als jʊŋɜ pɾoːfɛsoːɾ hatə ɛɾ ɪn vaɪmɑːɾ nɔx ʊntɜ ɡœtə amtiːɾt,Als junger Professor hatte er in Weimar noch unter Goethe amtiert.,Als junger Professor hatte er in Weimar noch unter Götte amtiert.
diːzə klasɪʃə deːfiːniːtsjoːn fɪndət bɪs hɔøtə anvɛndʊŋ v??də ɑːbɜ fiːlfax moːdiːfiːtsiːɾt ʊnt ɛɾvaɪtɜt,"Diese klassische Definition findet bis heute Anwendung, wurde aber vielfach modifiziert und erweitert.",Diese klassische Definition findet bis heute Anwendung wurde aber vielfach motiviert und erweitert.
aʊx diː ɪnbɛtɾiːbnɑːmə fɔn ɪntɜneːtanʃlysən hɪŋktə hɪntɜhɜ,Auch die Inbetriebnahme von Internetanschlüssen hinkte hinterher.,Auch die Inbetriebnahme von Internet-Techniken hängte hinterher.
diː ɡəfaŋənən v??dən aʊf tsɑːlraɪçə lɑːɡɜ fɛɾtaɪlt,Die Gefangenen wurden auf zahlreiche Lager verteilt.,Die Gefangenen wurden auf zahlreiche Lager verteilt.
ɪç daɾf ziː dɑːran ɛɾɪnɜn das viːɾ nɪçt baɪ alən frɑːɡən leːɡɪslatiːvə bəfʊɡnɪsə hɑːbən,"Ich darf Sie daran erinnern, dass wir nicht bei allen Fragen legislative Befugnisse haben.","Ich darf Sie darin erinnern, dass wir nicht bei allen Fragen legale Befugnisse haben."
ɛɾ hat tsvaɪ ɛltərə ʃvɛstɜn raɡnhɪlt ʊnt astɾiːt,"Er hat zwei ältere Schwestern, Ragnhild und Astrid.",Er hat zwei ältere Schwestern Ranghild und Asteroid.
zaɪn bɪʃɔfsɪts ɪst diː zɑmeːbɑːkatɛdɾɑːlə ɪn tɪflɪs,Sein Bischofssitz ist die Sameba-Kathedrale in Tiflis.,Sein Bischofsitz ist die Samme-Ba-Kathedrale in Trifels.
diː fɛɾbɾaʊxɜ hɑːbən zɪçɜhaɪtsbeːdɛŋkən ɪnsbeːzɔndərə baɪ ɡɾɛntsyːbɜʃraɪtəndən tɾanzaktsjoːnən,"Die Verbraucher haben Sicherheitsbedenken, insbesondere bei grenzüberschreitenden Transaktionen.",Die Verbraucher haben Sicherheitsbedenken insbesondere bei Grenzüberschreitenden Transaktionen.
haɪdən kɾɪstɛnzən ʊnt das dɾeːbʊx v??dən fyːɾ zɑtəliːtə ɑvaɾts noːmiːniːɾt,Hayden Christensen und das Drehbuch wurden für Satellite Awards nominiert.,Heiden Krisensen und das Drehbuch wurden für Satellite Award nominiert.
das ɛɾfɔɾʃən diː vɪsənʃaftlɜ ɡərɑːdə an ʃtamtsɛlən,Das erforschen die Wissenschaftler gerade an Stammzellen.,Das erfordern die Wissenschaftler gerade an Stammzellen.
tɔmiː hat aʊx baɪ dɛɾ ɛntvɪklʊŋ mɪtɡəvɪɾkt,Tommy hat auch bei der Entwicklung mitgewirkt.,Tomi hat auch bei der Entwicklung mitwirkt.
zɪnt mœpzə aɪɡəntlɪç hʊndə,Sind Möpse eigentlich Hunde?,Sind Möpse eigentlich hin?
dɑːbaɪ nɪmt diː flɛçə ʃoːn zaɪt aɪnɪɡən jɑːrən tsuː,Dabei nimmt die Fläche schon seit einigen Jahren zu.,Dabei nimmt die Fläche schon seit einigen Jahren zu.
axtɜ ɪm d??çbɾʊx ɡiːpt dɛɾ tsɑːnaɾtst an zaɪnə asɪstɛntɪn vaɪtɜ,"Achter im Durchbruch, gibt der Zahnarzt an seine Assistentin weiter.",Auch im Durchbruch gibt der Staatsdienst an seine Assistant weiter.
dɑːhɛɾ zɔltən fiːlə ɡəzɛtsə apɡəʃaft ʊnt fɛɾaɪnfaxt vɛɾdən,Daher sollten viele Gesetze abgeschafft und vereinfacht werden.,Daher sollten viele Gesetze abgeschafft und vereinbart werden.
bəɡlaɪtət vɪɾt kɾɪstʊs baɪdzaɪts fɔn jeː aɪnəm ɛŋəl ʊnt aɪnəm haɪlɪɡən,Begleitet wird Christus beidseits von je einem Engel und einem Heiligen.,Begliedert wird Christoph Beisatz von je einem Engel und einem Heiligen.
tsvaɪ dɾɪtəl dɛɾ bəfœlkərʊŋ maɪnəs landəs ʊnɡaɾn leːbən ɪn ʃtɛtən,"Zwei Drittel der Bevölkerung meines Landes, Ungarn, leben in Städten.",Zwei Drittel der Bevölkerung meines Landes ungern leben in Städten.
fɔɾmɑːl mœçtə ɪç dɑːraʊf hɪnvaɪzən das diːz ɡeːɡən ziː fɛɾvɛndət vɛɾdən kan,"Formal möchte ich darauf hinweisen, dass dies gegen Sie verwendet werden kann.","Vormal möchte ich darauf hinweisen, dass dies gegen sie verwendet werden kann."
diː løːzʊŋ,Die Lösung?,Die Lösung.
fɛɾhɛltnɪsə tsvɪʃən mytɜn ʊnt iːrən kɪndɜn vɛɾdən aʊs meːrərən blɪkvɪnkəln daɾɡɛʃtɛlt,Verhältnisse zwischen Müttern und ihren Kindern werden aus mehreren Blickwinkeln dargestellt.,Verhältnisse zwischen Müllern und ihren Kindern werden aus mehreren Blickwinkeln dargestellt.
jɑːɾ ʊm jɑːɾ zɪŋkən diː aɪnkɔmən,Jahr um Jahr sinken die Einkommen.,Jahr um Jahr sinken die Einkommen.
paʊlɑː vɛstəndɔɾf maxtə aɪnə aʊsbɪldʊŋ als kaʊfmɛnɪʃə zɛkɾeːtɛːrɪn,Paula Westendorf machte eine Ausbildung als kaufmännische Sekretärin.,Paula Westendorf machte eine Ausbildung als kaufmännische Sekreterin.
aʊs diːzəm ɡɾʊnt mʊs dɛɾ fɛɾfasʊŋʃpɾoːtsɛs apɡəʃlɔsən vɛɾdən,Aus diesem Grund muss der Verfassungsprozess abgeschlossen werden.,Aus diesem Grund muss der Verfassungsprozess abgeschlossen werden.
ɪm tsvɪtɾɪɡən ɡəʃlɛçtzaparɑːt ɪst aɪn peːnɪs ʊnt eːpiːfalʊs foːɾhandən,Im zwittrigen Geschlechtsapparat ist ein Penis und Epiphallus vorhanden.,Im zwischen Geschlechtspart ist ein Pedis und Epifallus vorhanden.
ɪn aɪnɜ kanɑdɪʃən rɛtɾɔspɛktiːvə v??də das ʃafən dɛs fɪlmeːmaxɜs mɪçəl bɾaʊlt ɡətsaɪkt,In einer kanadischen Retrospektive wurde das Schaffen des Filmemachers Michel Brault gezeigt.,In einer katholischen Retrospektive wurde das Schaffen des Filmmachers Michael Braun gezeichnet.
man zɔltə zɪç diː ʃtɛlə mɛɾkən an dɛɾ man fɔn aɪnɜ tsɛkə ɡəʃtɔxən v??də,"Man sollte sich die Stelle merken, an der man von einer Zecke gestochen wurde.","Man sollte sich die Stelle merken, an der man von einer Zecke gestochen wurde."
ɛɾ maxtə eːbənzoː aɪnən apʃlʊs ɪn ɪntɜnatsjoːnɑːlən anɡəleːɡənhaɪtən an dɛɾ ʃoːl (en)ɒv(de) ɪntɜnatsjoːnɑːl (en)sɜːvɪs(de),Er machte ebenso einen Abschluss in Internationalen Angelegenheiten an der School of International Service.,Er machte ebenso einen Abschluss in internationalen Angelegenheiten an der School of International School.
dɛɾ asteːroːiːt v??də nɑːx deːm dɔøtʃən astɾoːnoːmən ɡʊstɑːf ʃtɾakə bənant,Der Asteroid wurde nach dem deutschen Astronomen Gustav Stracke benannt.,Der Asteroid wurde nach dem deutschen Asteroiden Gustav Stracke benannt.
dɑːmɪt ɛɾntət man ɪn dɛɾ poːliːtiːk mɪsʃtɾaʊən,Damit erntet man in der Politik Misstrauen.,Damit erntet man in der Politik misstrauen.
diː ɡərɑːdə d??çleːptə ɔørɔkɾɪsə bəvaɪst ʊns viː vɪçtɪç diːzə poːziːtsjoːn nɑːx viː fɔɾ ɪst,"Die gerade durchlebte Eurokrise beweist uns, wie wichtig diese Position nach wie vor ist.",Die gerade durchlebte Europa beweist uns wie wichtig diese Position nach wie vor ist.
dɛɾ nɑːmə bətsiːt zɪç aʊf diː ʃtat kalmɑːɾ,Der Name bezieht sich auf die Stadt Kalmar.,Der Name besteht sich auf die Stadt Kallimar.
diː kɪɾçə ʃtant dɑːraʊfhɪn ʊnɡənʊtst leːɾ ʊnt fɛɾfiːl,Die Kirche stand daraufhin ungenutzt leer und verfiel.,Die Kirche stand daraufhin ungesundst leer und verfiel.
hɔøtə ɪst ɛs eːɜ das ɛŋlɪʃə,Heute ist es eher das Englische.,Heute ist es eher das Englische.
ɡəmaɪnzɑːm mɪt dɑːnɪəl kɑrazeːk yːbɜtɾɛːkt ziː teːatɜʃtykə fɔm ɛŋlɪʃən ɪns dɔøtʃə,Gemeinsam mit Daniel Karasek überträgt sie Theaterstücke vom Englischen ins Deutsche.,Gemeinsam mit Daniel Kassandra überträgt sie Theaterstücke vom Englischen ins Deutsche.
ɛɾ liːkt an deːn flysən ɛlbə ʊnt ʃvaɾtsə eːlstɜ,Er liegt an den Flüssen Elbe und Schwarze Elster.,"Er liegt an den Flüssen, Elbe und Schwarze Elster."
dɛɾ (en)njuː(de) jɔɾk tiːməs zɑːkt ziː ziː zaɪ zɔldɑːtɪn dɛɾ reːvoːluːtsjoːn,"Der ""New York Times"" sagt sie, sie sei „Soldatin der Revolution“.",Der New York Timmes sagt sie sie sei Soldatin der Revolution.
ɛɾ ɛɾmuːtɪçtə jɑːməs vat ɪn zaɪnɜ ɛntvɪklʊŋsaɾbaɪt tsuːɾ dampfkɾaft,Er ermutigte James Watt in seiner Entwicklungsarbeit zur Dampfkraft.,Er ermutige James Watt in seiner Entwicklungsarbeit zur Dampfkraft.
nuːn halt ɛntlɪç daɪnən mʊnt duː plapɜtaʃə tsɪʃtə zɪlviːɑː fɛɾɛɾɡɜt,"Nun halt endlich deinen Mund, du Plappertasche, zischte Silvia verärgert.","Nun halt endlich deinen, mit du Plapper-Tsche Siciliana verergert."
fyːɾ deːn zoːtsiːaldeːmoːkɾɑːtɪʃən pɾɛseːdiːnst ʊnt deːn foːɾvɛɾts bərɪçtətə ɛɾ aʊs bɛlɡɾɑːt pɑrɪs ʊnt lɔndoːn,"Für den „Sozialdemokratischen Pressedienst“ und den Vorwärts berichtete er aus Belgrad, Paris und London.",Für den sozialdemokratischen Präsident und den Vorwurf richtete er aus Belgrad Paris und London.
ziː v??də aʊf deːm valtfriːthoːf ɪn mynçən baɪɡəzɛtst,Sie wurde auf dem Waldfriedhof in München beigesetzt.,Sie wurde auf dem Waldfriedhof in München begesetzt.
diː kʊnstɪstoːriːkərɪn rʊt ʃmɪtseːmkə vɑːɾ zaɪnə ɛltərə ʃvɛstɜ,Die Kunsthistorikerin Ruth Schmitz-Ehmke war seine ältere Schwester.,Die Kunsthistorikerin Ruth Schmitzke war seine ältere Schwester.
dan zɔl ɛɾ diː maʊɜn dɔx mɪt zaɪnən aɪɡənən hɛndən ɛɾrɪçtən,Dann soll er die Mauern doch mit seinen eigenen Händen errichten!,Dann soll er die Mauern doch mit seinen eigenen Händen errichten.
nɑːx aɪɡənən anɡɑːbən vɔlə ɛɾ dɑːryːbɜ nɑːx ɡɾyntlɪçɜ pɾyːfʊŋ ʊnt bərɑtʊŋ ɛntʃaɪdən,"Nach eigenen Angaben wolle er darüber ""nach gründlicher Prüfung und Beratung"" entscheiden.",Nach eigenen Angaben wolle er darüber nach gründlicher Prüfung und Beratung entscheiden.
dɛɾ mɪt hoːf kɑːn juː ɛkspɛkt (en)təbi(de) tɑːkən zeːrɪoːʊsliː,"Der mit ""How Can You Expect To Be Taken Seriously?",Der mit Hof Can ju existt Cities Sierra-Isle.
mɪçəlbax bliːp røːmɪʃkatoːlɪʃ,Michelbach blieb römisch-katholisch.,Mecklenburg blieb römisch-katholisch.
mɪt deːm aɪnhaɪmɪʃən fɛɾnandoː ɡɔntsaleːts ʃpiːltə aʊx aɪn eːeːmɑlɪɡɜ tiːtəltɾɛːɡɜ mɪt,Mit dem einheimischen Fernando González spielte auch ein ehemaliger Titelträger mit.,Mit dem einheimischen Fernsehstudio Golden-Tales spielte auch ein ehemaliger Titelträger mit.
ɪn diːzəm amt zɪnt ɛlf ɡəmaɪndən tsuːɾ ɛɾleːdɪɡʊŋ iːrɜ fɛɾvaltʊŋsɡəʃɛftə tsuːzamənɡəʃlɔsən,In diesem Amt sind elf Gemeinden zur Erledigung ihrer Verwaltungsgeschäfte zusammengeschlossen.,In diesem Amt sind elf Gemeinden zur Erledigung ihrer Verwaltungsgebiete zusammengeschlossen.
ɪn dɛɾ ʃtat hɛɾʃtə pɑnɪk dɑː man zɪç fɔɾ deːn hɛranrykəndən tɾʊpən frankoːs fyɾçtətə,"In der Stadt herrschte Panik, da man sich vor den heranrückenden Truppen Francos fürchtete.","In der Stadt herrschte Panik, da man sich vor den herankehrenden Truppen Francos führte."
koːloːnəl dɛɾ çiːneːzɪʃən lʊftvafə baɪɡəzɛtst,Colonel der chinesischen Luftwaffe beigesetzt.,Kolonie der Chinesischen Luftwaffe beigesetzt.
tsɑːlraɪçə byːçɜ aʊfzɛtsə ʊnt tsaɪtʊnɡzaɾtiːkəl fɔlktən,"Zahlreiche Bücher, Aufsätze und Zeitungsartikel folgten.","Zahlreiche Bücher, Aufsätze und Zeitungsartikel folgten."
??ʃpɾyŋlɪç diːntə dɛɾ ɪn altoːnɑː apɡəhaltənə maɾkt tsuːɾ fɛɾzɔɾɡʊŋ dɛɾ byɾɡɜ mɪt frɪʃəm fɪʃ,Ursprünglich diente der in Altona abgehaltene Markt zur Versorgung der Bürger mit frischem Fisch.,Ursprünglich diente der in Altona abgehaltene Markt zur Versorgung der Bürger mit Fritzem Fisch.
